name,ppv,pph
ALZEN 30 GELULES,"79,50","55,66"
ALZOLE /14 GEL,"42,10","27,79"
ALZOLE 20MG/ 28 GELS,"79,40","52,45"
ALZOLE 20MG/ 7 GELS,"23,40","15,44"
AM 10MG B10,"31,00","20,48"
AM 10MG B30,"75,90","50,17"
AM 5MG B30,"43,70","28,87"
AMARA MASK V WRS,"5 249,80","3 500,00"
AMAREL 1MG X 30 CPS.BK,"51,10","33,76"
AMAREL 2MG X 30CPS.BK,"60,40","39,93"
AMAREL 3MG/30 CPS.BK,"92,10","60,85"
AMAREL 4MG/30CPS.BK,"68,80","45,45"
AMCARD 10MG / 14CPS,"36,70","24,25"
AMCARD 10MG / 28CPS BK,"70,90","46,83"
AMCARD 10MG/7CPS,"25,00","16,52"
AMCARD 5 MG / 14CPS,"25,00","16,52"
AMCARD 5 MG / 28CPS,"48,30","31,91"
AMEP 10MG/14CP   BK,"36,70","24,24"
AMEP 10MG/28CP   BK,"70,90","46,83"
AMEP 5MG/14CP,"25,00","16,52"
AMEP 5MG/28CP,"48,30","31,92"
AMEP 5MG/56CP,"95,50","64,58"
AMIAN 100MG B30,"84,80","56,02"
AMIAN 200MG B30,"191,00","126,23"
AMIAN 400MG B30,"276,00","182,53"
AMIAN 50MG B30,"55,60","36,76"
AMIKACINE MERCK  250MG INJ,"562,00","395,19"
AMILAB LAIT CORPOREL 500ML,"193,00","128,68"
AMILO 5MG B28            BK,"48,30","31,92"
AMIPRIM 100MG B30,"84,80","56,00"
AMIPRIM 200MG B30,"190,70","125,99"
AMIPRIM 50 B30,"55,60","36,74"
AMLODIPINE MAPHAR 10MG CP B28,"64,00","42,29"
AMLODIPINE MAPHAR 5MG B28,"36,20","23,92"
AMLOR 10MG/28CPS BK,"98,90","65,37"
AMLOR 5MG/56CPS BK,"136,60","90,25"
AMLOR CP 5MG X28 BK,"89,20","58,96"
AMLOR PLUS 10MG/30CPS     BK,"246,00","162,87"
AMLOR PLUS 5MG / 30CPS     BK,"246,00","162,87"
AMOVAS 10MG/10CPS BK,"29,80","19,67"
AMOVAS 5MG/14CPS BK,"25,60","16,93"
AMOVAS 5MG/28CPS BK,"48,30","31,91"
AMOVAS 5MG/56CPS BK,"95,50","63,10"
AMOXIL 1G D X 24 CPS BK,"96,90","64,00"
AMOXIL 1G DISP B12 CP BK,"51,40","33,95"
AMOXIL 25O SIROP,"27,00","17,85"
AMOXIL 500 MG SIROP BK,"31,30","20,70"
AMOXIL 500/24CPS DIS BK,"61,20","40,43"
AMOXIL 500MG CP DIS/12 BK,"32,30","21,37"
AMYKON 1% CREME 15G,"31,70","20,97"
AMYLASE 125ML,"37,40","24,70"
ANAFRANIL 25 MG X 3O DRAGEES,"44,80","29,60"
ANAFRANIL 75 COMP BK,"86,90","57,42"
ANAPRED 20MG B20,"40,90","27,01"
ANAPRED 20MG B30,"57,10","37,73"
ANASTRAZOL 1MG B30,"441,00","310,49"
ANASTROZOLE GT 1MG B30,"395,00","277,50"
ANASTROZOLE GT 1MG B60,"790,00","555,00"
ANCINE 50MG B30,"64,00","42,29"
ANCINE PLUS  50MG/12.5 30CP,"64,20","42,41"
ANCINE PLUS 100MG/25  30CP,"105,40","69,64"
ANDOL 1G / 8CPS EFFER,"13,50","8,94"
ANDOL 1G CP B8,"9,90","6,55"
ANDOL 500MG/16 CPS  EFFER,"13,10","8,65"
ANDOL 500MG/20CPS,"9,30","6,17"
ANDOL C / 10CPS,"14,90","9,88"
ANDOL SIROP 90 ML,"16,30","10,80"
ANDROCUR 50MG/20CPS BK,"194,30","128,38"
ANDROSITOL SACHET B30,"350,00","233,34"
ANDROTARDYL 250MG X 1AMP,"37,40","24,70"
ANGINIB 100MG B30,"148,00","97,78"
ANGINIB 50MG B56,"140,00","92,53"
ANGINIB 50MG/14 CPS BK,"40,00","26,41"
ANGINIB 50MG/28 CPS BK,"77,20","51,00"
ANGIO DROP,"89,00","62,30"
ANGLOR 10MG/30CPS,"75,90","50,17"
ANGLOR 5 MG/30 CPS,"43,00","28,42"
ANORESTOP 125ML,"61,00","42,70"
ANORO ELLIPTA PDR/INHL/30DOSE,"497,00","349,65"
ANSIODEP GOUTTES,"119,00","83,30"
ANSIOVIT B30,"99,00","69,30"
ANTAGON H2 200MG 10CP EFFE.,"37,40","24,70"
ANTAGON H2 X 10 AMP 200 MG,"53,40","35,31"
ANTARIDE 1 CREME ANTI-RIDES,"131,00","87,34"
ANTARIDE 2 CREME ANTI-RIDES,"131,00","87,34"
ANTEMET B30,"75,80","53,06"
"ANTHELIOS ""S""EC SPEC ENF IPD40","222,00","148,01"
"ANTHELIOS ""T"" IPD 30","222,00","148,01"
"ANTHELIOS ""XL""50ML","212,70","141,82"
ANTHELIOS SPORTIFS W GEL,"234,00","156,01"
ANTI GAS ADULTES STS 125MG,"99,00","69,30"
ANTI GAS GOUTTES 30ML,"92,00","64,40"
ANTI HEMO SUPPOSITOIRES,"13,50","8,94"
ANTI HEMORROIDAIRE POMMADE,"18,30","12,10"
ANTI-SPA 200MG/30CPS,"37,40","24,70"
ANTIBIO SYNALAR GTTES ORL,"18,10","11,98"
ANTIDOL GEL 120G,"138,00","96,60"
ANTIDOL GEL 60G,"79,00","55,31"
ANTIDOL SPRAY,"115,00","80,51"
ANTIMETIL / 30 CPS A,"82,50","57,76"
ANTIMETIL B15,"47,90","33,53"
ANTINOREX 4 MG 30 COMPRIMES,"16,00","10,56"
ANTINOREX SIROP 125 ML,"13,10","8,65"
ANTIRIDES C CREME,"186,00","124,01"
ANTISEPT SPRAY,"95,00","66,50"
ANXIOL 30CPS,"34,30","22,67"
AP,"79,80","55,87"
APADEX LP 1.5MG / 30CPS,"29,30","19,36"
APAISET SOIN LAVANT 200ML,"91,00","63,71"
APAIZIA BTE/30 GELULES,"99,00","69,30"
APAIZIA FORT BTE/30 GELULES,"149,00","104,32"
APAZIDE 200 BT 16 GELULES,"18,40","12,17"
APCALIS 20MG B2,"106,90","70,65"
APCALIS 20MG B4,"206,00","136,53"
APENAT 200ML/R,"84,50","59,16"
APENAT B15/R,"44,50","31,16"
APENAT B30/R,"79,50","55,66"
APETINE 125ML SIROP,"12,20","8,06"
APETINE 4MG 30CPS,"15,20","10,07"
APETINE 4MG 90CPS,"40,70","26,88"
APIDRA SOLOSTAR 100UI/ 1 STYLO,"98,40","65,01"
APIDRA SOLOSTAR 100UI/ 5 BK,"439,00","308,70"
APILIS SIROP 100ML,"72,90","51,02"
APILIS SIROP 250ML,"85,00","59,51"
APIMAX AMPOULE GELEE ROYALE 10,"140,00","98,00"
APIMAX MIEL EUCAL.KID SP 125ML,"68,00","47,60"
APIMAX MIEL EUCAL.PRO SP 125ML,"68,00","47,60"
APIMAX PROPOLIS SPRAY 30ML,"79,00","55,31"
APIMAX PROPOLIS SPRAY PM,"46,00","32,20"
APIMAX SP 125ML MIEL.DAGHMOUS,"108,00","75,60"
APIRETIL 60ML SP,"26,50","17,54"
APITOU N░1 SIROP 150ML,"77,00","53,89"
APITOU N░2 SIROP 150ML,"77,00","53,90"
APIVIT ENERGIE/30 GELULES,"78,00","54,60"
APIVOX 125ML,"59,90","41,93"
APIVOX 250ML,"99,90","69,94"
APIXOL AD 125ML,"49,90","34,93"
APIXOL ADULTE 200ML/R,"79,00","55,31"
APIXOL CP A SUCER B10,"49,50","34,66"
APIXOL CP A SUCER B20,"79,50","55,66"
APIXOL ENFANT 125 ML,"49,90","34,93"
APIXOL ENFANT 200ML/R,"79,50","55,66"
APIXOL SPRAY GORGE AD,"89,50","62,66"
APIXOL SPRAY GORGE ENF,"89,50","62,66"
APIXOL SPRAY NASAL 20ML,"89,50","62,66"
APLEVAX 5MG B10,"26,70","17,65"
APLEVAX 5MG B30,"70,60","46,62"
APOFER PLUS B30,"90,00","62,98"
APOTEL 1G  B10,"225,00","148,85"
APPETILUX SIROP,"83,90","58,73"
APPETIT CROISSANCE SIROP 150ML,"88,00","61,61"
APROVASC 150MG/10MG B28,"179,50","118,58"
APROVASC 150MG/5MG B28,"155,80","102,95"
APROVASC 300MG/10MG B28,"209,00","138,25"
APROVASC 300MG/5MG B28,"185,60","122,62"
APROVEL 150MG/28CP.BK,"108,70","71,82"
APROVEL 300MG/28CP.BK,"218,00","144,09"
APTAJUNIOR 3 AGE 400G,"90,00","76,51"
APTAJUNIOR 900G,"176,00","149,60"
APTAMIL 1 400G,"100,00","85,00"
APTAMIL 1 900G,"207,00","175,95"
APTAMIL 2 400G,"100,00","85,00"
APTAMIL 2 900G,"203,00","172,55"
APTAMIL NUTRIPREM PDF 400G,"88,00","74,80"
APTAMIL PRE NUTRIPREM 400G,"118,00","100,29"
APXIA 2.5MG CPS B20,"151,90","100,37"
APXIA 2.5MG CPS B60,"349,00","245,19"
APXIA 5MG CPP B20,"151,90","100,37"
APXIA 5MG CPS B60,"349,00","245,19"
APYROL 60MG/2ML,"15,50","10,25"
AQUALARM UD INTENSIVE 0.2%,"154,00","107,81"
AQUALARM UP INTENSIVE 0.24%,"165,00","115,50"
AQUINEX 400MG B5,"130,40","86,14"
AQUINEX 400MG B7,"182,40","120,52"
ARACTINE 30 COMP,"16,10","10,66"
ARACTINE SP 125ML,"12,60","8,30"
ARADOS 100G CPS B30,"148,00","97,78"
ARADOS 50MG BTE/30 CPS,"82,70","54,65"
ARANESP 500UG B1,"7 850,00","7 450,67"
ARAPRO 150MG B10,"50,00","33,03"
ARAPRO 150MG B30,"116,40","76,92"
ARAPRO 300MG B10,"60,00","39,64"
ARAPRO 300MG B30,"164,00","108,36"
ARATENS 100MG B28,"132,70","87,69"
ARATENS 50MG B28,"63,80","42,18"
ARAVA 20MG/30 CPS BK,"674,00","473,53"
ARCOXIA  60MG/14 CPS BK,"119,50","78,98"
ARCOXIA 120MG/7CP BK,"95,50","63,10"
ARCOXIA 60MG/ 7CPS BK,"65,20","43,07"
ARCOXIA 90MG / 7 CPS,"65,90","43,51"
ARCOXIA 90MG/14CPS,"124,00","81,92"
ARCUREX B30,"149,90","104,93"
ARES 250MG/10CPS,"33,60","22,23"
ARES 250MG/20CPS,"63,50","41,99"
ARES 500MG/10CPS,"67,50","44,59"
ARES 500MG/20CPS,"127,80","84,47"
ARGENT COLLOIDAL 5% PDE 5G,"12,90","8,52"
ARGININE VEYRON SP FL 125,"35,80","23,65"
ARGO SUSP 250ML,"28,50","18,84"
ARHUMATIZE FLEX RAFRICH 100G,"120,00","84,00"
ARHUMATIZE GEL CHAUFFANT 60G,"79,80","55,87"
